equation,mayer_group,constant_degrees,constant_minutes,constant_arcminutes,coef_alpha,coef_alpha_sin_theta
1,I,13,10,790,0.8836,-0.4682
2,I,13,8,788,0.9996,-0.0282
3,I,13,12,792,0.9899,0.1421
4,III,14,15,855,0.2221,0.9750
5,III,14,42,882,0.0006,1.0000
6,I,13,1,781,0.9308,-0.3654
7,III,14,31,871,0.0602,0.9982
8,II,14,57,897,-0.1570,0.9876
9,I,13,5,785,0.9097,-0.4152
10,I,13,2,782,1.0000,0.0055
11,I,13,12,792,0.9689,0.2476
12,I,13,11,791,0.8878,0.4602
13,III,13,34,814,0.7549,0.6558
14,III,13,53,833,0.5755,0.8178
15,III,13,58,838,0.3608,0.9326
16,III,14,14,854,0.1302,0.9915
17,III,14,56,896,-0.1068,0.9943
18,II,14,47,887,-0.3363,0.9418
19,II,15,56,956,-0.8560,0.5170
20,III,13,29,809,0.8002,0.5997
21,II,15,55,955,-0.9952,-0.0982
22,II,15,39,939,-0.8409,0.5412
23,II,16,9,969,-0.9429,0.3330
24,II,16,22,982,-0.9768,0.2141
25,II,15,38,938,-0.6262,-0.7797
26,II,14,54,894,-0.4091,-0.9125
27,I,13,7,787,0.9284,-0.3716
