draw,color
1,red
2,blue
3,red
4,blue
5,blue
6,red
7,red
8,blue
9,blue
10,blue
11,red
12,blue
13,red
14,red
15,red
16,blue
17,red
18,red
19,blue
20,red
21,red
22,red
23,red
24,red
25,red
26,red
27,blue
28,red
29,blue
30,blue
31,red
32,red
33,blue
34,blue
35,red
36,red
37,red
38,blue
39,red
40,blue
41,red
42,red
43,blue
44,red
45,blue
46,blue
47,red
48,red
49,red
50,red
51,blue
52,blue
53,blue
54,blue
55,red
56,red
57,red
58,red
59,blue
60,red
61,blue
62,blue
63,blue
64,red
65,red
66,red
67,red
68,blue
69,red
70,blue
71,red
72,red
73,red
74,blue
75,blue
76,red
77,red
78,red
79,red
80,blue
81,red
82,red
83,blue
84,blue
85,blue
86,red
87,red
88,blue
89,red
90,blue
91,red
92,red
93,red
94,blue
95,blue
96,red
97,red
98,red
99,blue
100,blue
101,red
102,blue
103,red
104,red
105,blue
106,blue
107,blue
108,red
109,red
110,red
111,red
112,blue
113,blue
114,red
115,blue
116,red
117,blue
118,blue
119,blue
120,red
121,red
122,red
123,red
124,blue
125,blue
126,red
127,blue
128,red
129,red
130,red
131,blue
132,red
133,red
134,red
135,red
136,blue
137,red
138,red
139,blue
140,red
141,blue
142,red
143,red
144,red
145,red
146,blue
147,blue
148,red
149,red
150,blue
151,red
152,red
153,red
154,blue
155,red
156,red
157,red
158,red
159,red
160,blue
161,red
162,red
163,red
164,blue
165,blue
166,red
167,red
168,red
169,red
170,red
171,red
172,red
173,red
174,blue
175,blue
176,blue
177,red
178,red
179,blue
180,blue
181,blue
182,blue
183,red
184,blue
185,red
186,red
187,blue
188,red
189,blue
190,red
191,red
192,blue
193,red
194,blue
195,red
196,red
197,blue
198,blue
199,red
200,red
201,red
202,red
203,red
204,blue
205,blue
206,blue
207,blue
208,blue
209,red
210,red
211,blue
212,red
213,red
214,red
215,blue
216,blue
217,red
218,red
219,red
220,blue
221,red
222,blue
223,red
224,blue
225,red
226,blue
227,red
228,red
229,red
230,blue
231,blue
232,blue
233,red
234,red
235,blue
236,blue
237,red
238,red
239,blue
240,red
241,red
242,red
243,blue
244,red
245,blue
246,red
247,red
248,blue
249,red
250,blue
251,red
252,red
253,blue
254,red
255,red
256,red
257,red
258,red
259,red
260,blue
261,blue
262,blue
263,blue
264,blue
265,red
266,blue
267,blue
268,blue
269,red
270,red
271,red
272,red
273,red
274,red
275,blue
276,red
277,red
278,red
279,red
280,blue
281,red
282,red
283,blue
284,red
285,blue
286,blue
287,red
288,red
289,red
290,red
291,red
292,blue
293,red
294,red
295,red
296,red
297,red
298,red
299,blue
300,red
301,red
302,red
303,red
304,red
305,blue
306,blue
307,blue
308,red
309,blue
310,blue
311,red
312,blue
313,red
314,blue
315,red
316,blue
317,red
318,blue
319,red
320,red
321,red
322,red
323,blue
324,red
325,red
326,red
327,red
328,blue
329,blue
330,red
331,blue
332,blue
333,blue
334,blue
335,red
336,blue
337,blue
338,blue
339,blue
340,red
341,red
342,red
343,blue
344,blue
345,red
346,blue
347,red
348,red
349,red
350,red
351,blue
352,red
353,blue
354,red
355,blue
356,red
357,red
358,red
359,blue
360,blue
361,blue
362,red
363,red
364,red
365,blue
366,blue
367,red
368,red
369,red
370,red
371,blue
372,red
373,red
374,red
375,red
376,blue
377,red
378,red
379,red
380,red
381,blue
382,red
383,blue
384,red
385,red
386,red
387,red
388,blue
389,blue
390,blue
391,red
392,blue
393,red
394,blue
395,blue
396,blue
397,red
398,blue
399,red
400,blue
401,red
402,red
403,red
404,red
405,blue
406,blue
407,blue
408,blue
409,red
410,blue
411,blue
412,red
413,red
414,blue
415,red
416,red
417,red
418,red
419,red
420,red
421,red
422,blue
423,red
424,red
425,red
426,red
427,blue
428,blue
429,blue
430,blue
431,red
432,blue
433,red
434,red
435,red
436,red
437,blue
438,blue
439,red
440,red
441,red
442,red
443,blue
444,blue
445,red
446,blue
447,red
448,red
449,red
450,red
451,blue
452,blue
453,red
454,blue
455,blue
456,blue
457,red
458,red
459,red
460,blue
461,red
462,red
463,red
464,red
465,red
466,blue
467,red
468,red
469,red
470,red
471,red
472,blue
473,red
474,red
475,red
476,blue
477,red
478,blue
479,red
480,blue
481,red
482,red
483,red
484,red
485,red
486,red
487,blue
488,red
489,red
490,red
491,blue
492,red
493,red
494,blue
495,red
496,red
497,red
498,blue
499,blue
500,red
501,red
502,red
503,red
504,red
505,red
506,red
507,blue
508,red
509,red
510,red
511,red
512,red
513,blue
514,red
515,red
516,red
517,red
518,blue
519,blue
520,red
521,red
522,red
523,blue
524,blue
525,red
526,blue
527,red
528,blue
529,blue
530,red
531,blue
532,blue
533,red
534,blue
535,blue
536,red
537,red
538,blue
539,red
540,red
541,red
542,blue
543,blue
544,red
545,blue
546,blue
547,blue
548,red
549,blue
550,red
551,red
552,blue
553,red
554,red
555,blue
556,blue
557,red
558,red
559,red
560,blue
561,blue
562,red
563,blue
564,red
565,red
566,red
567,red
568,blue
569,red
570,red
571,blue
572,blue
573,blue
574,red
575,red
576,red
577,blue
578,blue
579,red
580,red
581,blue
582,red
583,red
584,red
585,blue
586,red
587,red
588,red
589,red
590,blue
591,blue
592,blue
593,red
594,blue
595,red
596,blue
597,blue
598,blue
599,red
600,red
601,blue
602,red
603,red
604,blue
605,red
606,blue
607,red
608,blue
609,blue
610,blue
611,red
612,blue
613,red
614,red
615,red
616,blue
617,red
618,red
619,red
620,blue
621,blue
622,red
623,red
624,red
625,red
626,blue
627,blue
628,red
629,red
630,red
631,red
632,blue
633,blue
634,blue
635,red
636,red
637,red
638,blue
639,blue
640,red
641,red
642,red
643,red
644,red
645,blue
646,blue
647,blue
648,red
649,red
650,red
651,blue
652,blue
653,blue
654,red
655,blue
656,red
657,red
658,red
