"record","urn","color"
1,"A","red"
2,"A","red"
3,"B","blue"
4,"A","red"
5,"B","blue"
6,"A","blue"
7,"A","blue"
8,"A","blue"
9,"A","red"
10,"A","red"
11,"A","blue"
12,"B","red"
13,"A","red"
14,"B","blue"
15,"A","blue"
16,"B","blue"
17,"B","blue"
18,"A","blue"
19,"A","blue"
20,"A","red"
21,"A","red"
22,"A","red"
23,"A","blue"
24,"A","blue"
25,"B","blue"
26,"A","red"
27,"A","red"
28,"A","red"
29,"B","blue"
30,"A","red"
31,"B","blue"
32,"A","blue"
33,"A","blue"
34,"A","red"
35,"B","blue"
36,"A","red"
37,"A","red"
38,"A","blue"
39,"B","red"
40,"B","blue"
41,"A","blue"
42,"B","red"
43,"B","blue"
44,"A","red"
45,"B","red"
46,"B","blue"
47,"A","red"
48,"A","red"
49,"B","blue"
50,"A","red"
51,"B","blue"
52,"B","red"
53,"B","red"
54,"A","blue"
55,"A","blue"
56,"A","blue"
57,"A","red"
58,"A","red"
59,"B","blue"
60,"A","red"
61,"B","blue"
62,"A","blue"
63,"A","red"
64,"A","red"
65,"B","blue"
66,"A","red"
67,"A","red"
68,"B","blue"
69,"A","red"
70,"A","red"
71,"A","red"
72,"B","blue"
73,"A","red"
74,"B","red"
75,"B","blue"
76,"A","red"
77,"A","blue"
78,"B","blue"
79,"A","blue"
80,"A","blue"
81,"B","blue"
82,"B","blue"
83,"B","blue"
84,"B","blue"
85,"B","blue"
86,"A","red"
87,"A","red"
88,"A","blue"
89,"A","blue"
90,"A","blue"
91,"A","blue"
92,"A","red"
93,"A","red"
94,"B","blue"
95,"A","red"
96,"B","blue"
97,"A","blue"
98,"B","blue"
99,"B","blue"
100,"A","red"
101,"A","red"
102,"A","red"
103,"A","blue"
104,"B","blue"
105,"A","blue"
106,"B","red"
107,"A","red"
108,"A","red"
109,"A","blue"
110,"A","red"
111,"A","blue"
112,"A","red"
113,"A","red"
114,"A","blue"
115,"B","blue"
116,"A","red"
117,"A","blue"
118,"A","red"
119,"A","blue"
120,"A","red"
